experiment,base_name,image_index,nuc_ID,cell_ID,assigned,channel,n_spots_nuclear,n_spots_cyto,n_spots_total,group,cell_density,strain
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,1,1,True,1,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,1,1,True,2,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,3,3,True,1,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,3,3,True,2,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,5,4,True,1,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,5,4,True,2,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,10,5,True,1,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,10,5,True,2,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,7,6,True,1,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,7,6,True,2,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,8,7,True,1,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,8,7,True,2,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,11,8,True,1,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,11,8,True,2,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,9,9,True,1,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,9,9,True,2,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,13,9,True,1,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,13,9,True,2,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,12,10,True,1,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,12,10,True,2,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,15,11,True,1,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,15,11,True,2,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,14,12,True,1,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,14,12,True,2,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,16,12,True,1,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,16,12,True,2,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,18,13,True,1,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,18,13,True,2,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,17,14,True,1,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,17,14,True,2,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,20,15,True,1,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,20,15,True,2,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,19,16,True,1,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,19,16,True,2,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,21,17,True,1,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,21,17,True,2,1,0,1,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,22,17,True,1,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,22,17,True,2,0,0,0,control,3X,yTAS1253
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,23,18,True,1,0,0,0,control,3X,yTAS1253
