experiment,base_name,image_index,cell_ID,n_nuclei
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,1,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,3,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,4,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,5,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,6,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,7,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,8,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,9,2
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,10,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,11,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,12,2
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,13,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,14,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,15,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,16,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,17,2
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,18,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,19,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,20,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,21,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,22,2
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,23,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,24,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,25,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,26,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,27,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,28,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,30,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,31,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,32,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,33,2
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,34,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,35,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,36,1
08262025_Taka_pombe-live,08262025_Taka_pombe-live_3X_control_1_MMStack_Pos0_MIP,27,37,1
