experiment,image_index,channel,avg_intensity,median_intensity,min_intensity,area,base_name
02132025_Cen-ZF_select_HCT116_session2,14,0,3835.8048301552158,3566.0,730,2721055,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen13-ZF2b_1_MMStack_Pos1_MIP
02132025_Cen-ZF_select_HCT116_session2,14,1,1473.763155553366,895.0,353,2721055,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen13-ZF2b_1_MMStack_Pos1_MIP
02132025_Cen-ZF_select_HCT116_session2,15,0,4689.103978165383,4551.0,1766,2044106,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos10_MIP
02132025_Cen-ZF_select_HCT116_session2,15,1,932.8694735060415,636.0,290,2044106,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF3c_1_MMStack_Pos10_MIP
02132025_Cen-ZF_select_HCT116_session2,16,0,5713.87658518471,5521.0,1873,1974758,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4a_1_MMStack_Pos8_MIP
02132025_Cen-ZF_select_HCT116_session2,16,1,1605.1584658725708,942.0,382,1974758,02132025_Cen-ZF_select_HCT116_NT-GFP_CenY-ZF4a_1_MMStack_Pos8_MIP
02132025_Cen-ZF_select_HCT116_session2,17,0,5529.893805943781,5305.0,1011,2445226,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen17-ZF1a_1_MMStack_Pos1_MIP
02132025_Cen-ZF_select_HCT116_session2,17,1,1021.8854526822514,744.0,352,2445226,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen17-ZF1a_1_MMStack_Pos1_MIP
02132025_Cen-ZF_select_HCT116_session2,18,0,4086.284178777142,3776.0,1262,2525085,02132025_Cen-ZF_select_HCT116_NT-GFP_CenX-ZF1c_1_MMStack_Pos11_MIP
02132025_Cen-ZF_select_HCT116_session2,18,1,613.3370139862694,586.0,334,2525085,02132025_Cen-ZF_select_HCT116_NT-GFP_CenX-ZF1c_1_MMStack_Pos11_MIP
02132025_Cen-ZF_select_HCT116_session2,19,0,5877.113839032587,5396.0,1619,2522026,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen18-ZF1e_1_MMStack_Pos1_MIP
02132025_Cen-ZF_select_HCT116_session2,19,1,692.3577647494515,583.0,295,2522026,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen18-ZF1e_1_MMStack_Pos1_MIP
02132025_Cen-ZF_select_HCT116_session2,20,0,5507.230004781094,5223.0,1945,2153154,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos4_MIP
02132025_Cen-ZF_select_HCT116_session2,20,1,1062.0674452396302,790.0,389,2153154,02132025_Cen-ZF_select_HCT116_NT-GFP_Cen21-ZF1b_1_MMStack_Pos4_MIP
