y,x,intensity,probability,cell_ID,nuc_ID,base_name,image_index,channel,experiment,group,cell_density,strain,bg_area,bg_min,bg_median,bg_max,intensity_bs
2027.932,651.1311,1506.06,0.517,128,161,10242025_Taka_pombe_4X_ecDNA_yTAS1202_1_MMStack_Pos5_MIP,0,1,10242025_Taka_pombe-live,ecDNA,4X,yTAS1202,2574696,153.0,217.0,3601.0,1353.06
2025.0,647.0,1458.0,0.394,128,161,10242025_Taka_pombe_4X_ecDNA_yTAS1202_1_MMStack_Pos5_MIP,0,1,10242025_Taka_pombe-live,ecDNA,4X,yTAS1202,2574696,153.0,217.0,3601.0,1305.0
2023.0,643.0,1641.0,0.511,128,161,10242025_Taka_pombe_4X_ecDNA_yTAS1202_1_MMStack_Pos5_MIP,0,1,10242025_Taka_pombe-live,ecDNA,4X,yTAS1202,2574696,153.0,217.0,3601.0,1488.0
2018.0,755.0,597.0,0.429,126,159,10242025_Taka_pombe_4X_ecDNA_yTAS1202_1_MMStack_Pos5_MIP,0,1,10242025_Taka_pombe-live,ecDNA,4X,yTAS1202,2574696,153.0,217.0,3601.0,444.0
2017.0,663.0,1642.0,0.427,128,161,10242025_Taka_pombe_4X_ecDNA_yTAS1202_1_MMStack_Pos5_MIP,0,1,10242025_Taka_pombe-live,ecDNA,4X,yTAS1202,2574696,153.0,217.0,3601.0,1489.0
2012.545,748.2226,608.24,0.45,126,159,10242025_Taka_pombe_4X_ecDNA_yTAS1202_1_MMStack_Pos5_MIP,0,1,10242025_Taka_pombe-live,ecDNA,4X,yTAS1202,2574696,153.0,217.0,3601.0,455.24
2013.0,659.0,1588.0,0.378,128,161,10242025_Taka_pombe_4X_ecDNA_yTAS1202_1_MMStack_Pos5_MIP,0,1,10242025_Taka_pombe-live,ecDNA,4X,yTAS1202,2574696,153.0,217.0,3601.0,1435.0
2013.1021,514.0477,1791.91,0.773,135,160,10242025_Taka_pombe_4X_ecDNA_yTAS1202_1_MMStack_Pos5_MIP,0,1,10242025_Taka_pombe-live,ecDNA,4X,yTAS1202,2574696,153.0,217.0,3601.0,1638.91
2011.0,750.0,641.0,0.397,126,159,10242025_Taka_pombe_4X_ecDNA_yTAS1202_1_MMStack_Pos5_MIP,0,1,10242025_Taka_pombe-live,ecDNA,4X,yTAS1202,2574696,153.0,217.0,3601.0,488.0
2011.0,656.0,1273.0,0.398,128,161,10242025_Taka_pombe_4X_ecDNA_yTAS1202_1_MMStack_Pos5_MIP,0,1,10242025_Taka_pombe-live,ecDNA,4X,yTAS1202,2574696,153.0,217.0,3601.0,1120.0
2004.7166,1884.1566,435.56,0.484,133,155,10242025_Taka_pombe_4X_ecDNA_yTAS1202_1_MMStack_Pos5_MIP,0,1,10242025_Taka_pombe-live,ecDNA,4X,yTAS1202,2574696,153.0,217.0,3601.0,282.56
2003.0,754.0,991.0,0.417,126,159,10242025_Taka_pombe_4X_ecDNA_yTAS1202_1_MMStack_Pos5_MIP,0,1,10242025_Taka_pombe-live,ecDNA,4X,yTAS1202,2574696,153.0,217.0,3601.0,838.0
2000.9713,750.5301,1024.27,0.518,126,159,10242025_Taka_pombe_4X_ecDNA_yTAS1202_1_MMStack_Pos5_MIP,0,1,10242025_Taka_pombe-live,ecDNA,4X,yTAS1202,2574696,153.0,217.0,3601.0,871.27
1998.1411,755.2104,1168.06,0.489,126,159,10242025_Taka_pombe_4X_ecDNA_yTAS1202_1_MMStack_Pos5_MIP,0,1,10242025_Taka_pombe-live,ecDNA,4X,yTAS1202,2574696,153.0,217.0,3601.0,1015.06
1989.0,759.0,732.0,0.323,126,159,10242025_Taka_pombe_4X_ecDNA_yTAS1202_1_MMStack_Pos5_MIP,0,1,10242025_Taka_pombe-live,ecDNA,4X,yTAS1202,2574696,153.0,217.0,3601.0,579.0
1988.0,1805.0,1174.0,0.436,130,157,10242025_Taka_pombe_4X_ecDNA_yTAS1202_1_MMStack_Pos5_MIP,0,1,10242025_Taka_pombe-live,ecDNA,4X,yTAS1202,2574696,153.0,217.0,3601.0,1021.0
1985.8504,764.541,1126.38,0.56,126,159,10242025_Taka_pombe_4X_ecDNA_yTAS1202_1_MMStack_Pos5_MIP,0,1,10242025_Taka_pombe-live,ecDNA,4X,yTAS1202,2574696,153.0,217.0,3601.0,973.3800000000001
1984.0,1805.0,1373.0,0.435,130,157,10242025_Taka_pombe_4X_ecDNA_yTAS1202_1_MMStack_Pos5_MIP,0,1,10242025_Taka_pombe-live,ecDNA,4X,yTAS1202,2574696,153.0,217.0,3601.0,1220.0
1981.178,1821.6519,557.58,0.482,130,157,10242025_Taka_pombe_4X_ecDNA_yTAS1202_1_MMStack_Pos5_MIP,0,1,10242025_Taka_pombe-live,ecDNA,4X,yTAS1202,2574696,153.0,217.0,3601.0,404.58000000000004
