experiment,base_name,ROI,channel,x,y,intensity,probability,plasmid
02112025_Cen-ZF_select_HCT116_session1,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen8-ZF4b_1_MMStack_Pos6_MIP,117,2,1268,2033,1989.0,0.304,NT-GFP_Cen8-ZF4b
02112025_Cen-ZF_select_HCT116_session1,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen8-ZF4b_1_MMStack_Pos6_MIP,118,2,1836,2024,2328.88,0.485,NT-GFP_Cen8-ZF4b
02112025_Cen-ZF_select_HCT116_session1,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen8-ZF4b_1_MMStack_Pos6_MIP,117,2,1278,2019,1941.0,0.386,NT-GFP_Cen8-ZF4b
02112025_Cen-ZF_select_HCT116_session1,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen8-ZF4b_1_MMStack_Pos6_MIP,119,2,324,2018,8853.56,0.474,NT-GFP_Cen8-ZF4b
02112025_Cen-ZF_select_HCT116_session1,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen8-ZF4b_1_MMStack_Pos6_MIP,117,2,1254,2015,1921.04,0.49,NT-GFP_Cen8-ZF4b
02112025_Cen-ZF_select_HCT116_session1,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen8-ZF4b_1_MMStack_Pos6_MIP,118,2,1818,1992,2458.0,0.438,NT-GFP_Cen8-ZF4b
02112025_Cen-ZF_select_HCT116_session1,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen8-ZF4b_1_MMStack_Pos6_MIP,119,2,407,1986,6137.0,0.391,NT-GFP_Cen8-ZF4b
02112025_Cen-ZF_select_HCT116_session1,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen8-ZF4b_1_MMStack_Pos6_MIP,117,2,1314,1986,1733.22,0.485,NT-GFP_Cen8-ZF4b
02112025_Cen-ZF_select_HCT116_session1,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen8-ZF4b_1_MMStack_Pos6_MIP,116,2,801,1947,8727.0,0.471,NT-GFP_Cen8-ZF4b
02112025_Cen-ZF_select_HCT116_session1,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen8-ZF4b_1_MMStack_Pos6_MIP,116,2,826,1917,9591.68,0.601,NT-GFP_Cen8-ZF4b
02112025_Cen-ZF_select_HCT116_session1,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen8-ZF4b_1_MMStack_Pos6_MIP,111,2,339,1898,7999.0,0.441,NT-GFP_Cen8-ZF4b
02112025_Cen-ZF_select_HCT116_session1,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen8-ZF4b_1_MMStack_Pos6_MIP,106,2,1126,1814,15149.33,0.561,NT-GFP_Cen8-ZF4b
02112025_Cen-ZF_select_HCT116_session1,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen8-ZF4b_1_MMStack_Pos6_MIP,99,2,1177,1721,3897.0,0.308,NT-GFP_Cen8-ZF4b
