experiment,image_index,channel,avg_intensity,median_intensity,min_intensity,area,base_name
02112025_Cen-ZF_select_HCT116_session1,0,0,5393.6096946715725,5290.0,2220,2288103,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen7-ZF1g_1_MMStack_Pos8_MIP
02112025_Cen-ZF_select_HCT116_session1,0,1,2001.2472852506487,1302.0,400,2288103,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen7-ZF1g_1_MMStack_Pos8_MIP
02112025_Cen-ZF_select_HCT116_session1,1,0,3805.0949308519653,3592.0,1055,2537314,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen5-ZF2b_1_MMStack_Pos6_MIP
02112025_Cen-ZF_select_HCT116_session1,1,1,1633.0400041776527,1019.0,444,2537314,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen5-ZF2b_1_MMStack_Pos6_MIP
02112025_Cen-ZF_select_HCT116_session1,2,0,4563.179664501427,4260.0,1587,2439610,02112025_Cen-ZF_select_HCT116_utx_1_MMStack_Pos8_MIP
02112025_Cen-ZF_select_HCT116_session1,2,1,608.3554633591552,618.0,330,2439610,02112025_Cen-ZF_select_HCT116_utx_1_MMStack_Pos8_MIP
02112025_Cen-ZF_select_HCT116_session1,3,0,4189.189280913779,3942.0,1098,2368633,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen4-ZF4c_1_MMStack_Pos2_MIP
02112025_Cen-ZF_select_HCT116_session1,3,1,1262.5981655471132,907.0,372,2368633,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen4-ZF4c_1_MMStack_Pos2_MIP
02112025_Cen-ZF_select_HCT116_session1,4,0,3822.724800428375,3475.0,1319,2437927,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen15-ZF2c_1_MMStack_Pos1_MIP
02112025_Cen-ZF_select_HCT116_session1,4,1,1882.600909222748,949.0,410,2437927,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen15-ZF2c_1_MMStack_Pos1_MIP
02112025_Cen-ZF_select_HCT116_session1,5,0,4092.0082507332136,3790.0,1454,2593499,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen10-ZF1c_1_MMStack_Pos3_MIP
02112025_Cen-ZF_select_HCT116_session1,5,1,2475.338992591699,1361.0,445,2593499,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen10-ZF1c_1_MMStack_Pos3_MIP
02112025_Cen-ZF_select_HCT116_session1,6,0,3900.5624342379424,3799.0,1137,2505244,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen9-ZF1a_1_MMStack_Pos8_MIP
02112025_Cen-ZF_select_HCT116_session1,6,1,861.2469009006708,693.0,372,2505244,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen9-ZF1a_1_MMStack_Pos8_MIP
02112025_Cen-ZF_select_HCT116_session1,7,0,3789.5796785104812,3556.0,1434,2600235,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen12-ZF2b_1_MMStack_Pos5_MIP
02112025_Cen-ZF_select_HCT116_session1,7,1,1698.5574839802675,1030.0,363,2600235,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen12-ZF2b_1_MMStack_Pos5_MIP
02112025_Cen-ZF_select_HCT116_session1,8,0,3838.5938600644045,3370.0,1276,2532177,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen10-ZF2c_1_MMStack_Pos8_MIP
02112025_Cen-ZF_select_HCT116_session1,8,1,2605.604197082901,1269.0,438,2532177,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen10-ZF2c_1_MMStack_Pos8_MIP
02112025_Cen-ZF_select_HCT116_session1,9,0,4458.8781587108515,4132.0,1390,2453224,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen6-ZF1c_1_MMStack_Pos3_MIP
02112025_Cen-ZF_select_HCT116_session1,9,1,1212.23765905652,829.0,408,2453224,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen6-ZF1c_1_MMStack_Pos3_MIP
02112025_Cen-ZF_select_HCT116_session1,10,0,4272.097266691142,4010.0,1155,2396038,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen10-ZF1c_1_MMStack_Pos10_MIP
02112025_Cen-ZF_select_HCT116_session1,10,1,2527.268872502229,1467.0,452,2396038,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen10-ZF1c_1_MMStack_Pos10_MIP
02112025_Cen-ZF_select_HCT116_session1,11,0,3895.1589171177266,3678.0,1427,2480705,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen2-ZF2a_1_MMStack_Pos8_MIP
02112025_Cen-ZF_select_HCT116_session1,11,1,1390.2502000492616,919.0,434,2480705,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen2-ZF2a_1_MMStack_Pos8_MIP
02112025_Cen-ZF_select_HCT116_session1,12,0,4449.8277140714745,4246.0,1900,2577967,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen7-ZF1e_1_MMStack_Pos2_MIP
02112025_Cen-ZF_select_HCT116_session1,12,1,1726.389009767294,1221.0,453,2577967,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen7-ZF1e_1_MMStack_Pos2_MIP
02112025_Cen-ZF_select_HCT116_session1,13,0,5093.428065793377,5042.0,1897,2147528,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen7-ZF2h_1_MMStack_Pos0_MIP
02112025_Cen-ZF_select_HCT116_session1,13,1,1045.9825928714683,760.0,409,2147528,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen7-ZF2h_1_MMStack_Pos0_MIP
02112025_Cen-ZF_select_HCT116_session1,14,0,4047.7833315218018,3921.0,1379,2276912,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen14-ZF1a_1_MMStack_Pos3_MIP
02112025_Cen-ZF_select_HCT116_session1,14,1,2328.2954899928336,1385.0,542,2276912,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen14-ZF1a_1_MMStack_Pos3_MIP
02112025_Cen-ZF_select_HCT116_session1,15,0,4598.963674919746,4422.0,1776,2291810,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen2-ZF1a_1_MMStack_Pos3_MIP
02112025_Cen-ZF_select_HCT116_session1,15,1,868.8875211632829,741.0,413,2291810,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen2-ZF1a_1_MMStack_Pos3_MIP
02112025_Cen-ZF_select_HCT116_session1,16,0,5217.947121431481,5065.0,1669,2131027,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen4-ZF3c_1_MMStack_Pos1_MIP
02112025_Cen-ZF_select_HCT116_session1,16,1,2307.334064746273,1474.0,487,2131027,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen4-ZF3c_1_MMStack_Pos1_MIP
02112025_Cen-ZF_select_HCT116_session1,17,0,4125.155905147567,4018.0,1449,2513328,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen9-ZF1a_1_MMStack_Pos11_MIP
02112025_Cen-ZF_select_HCT116_session1,17,1,1422.2410961390858,911.0,478,2513328,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen9-ZF1a_1_MMStack_Pos11_MIP
02112025_Cen-ZF_select_HCT116_session1,18,0,4371.158741237344,4173.0,1374,2581838,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen7-ZF1f_1_MMStack_Pos3_MIP
02112025_Cen-ZF_select_HCT116_session1,18,1,867.4701691082745,735.0,411,2581838,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen7-ZF1f_1_MMStack_Pos3_MIP
02112025_Cen-ZF_select_HCT116_session1,19,0,3023.671359775095,2959.0,1114,2546855,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen12-ZF1b_1_MMStack_Pos7_MIP
02112025_Cen-ZF_select_HCT116_session1,19,1,762.8473230710033,700.0,368,2546855,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen12-ZF1b_1_MMStack_Pos7_MIP
02112025_Cen-ZF_select_HCT116_session1,20,0,3902.079439168718,3673.0,1322,2526776,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen15-ZF2c_1_MMStack_Pos8_MIP
02112025_Cen-ZF_select_HCT116_session1,20,1,1552.1720541107784,990.0,378,2526776,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen15-ZF2c_1_MMStack_Pos8_MIP
02112025_Cen-ZF_select_HCT116_session1,21,0,3910.504978957988,3734.0,1731,2357541,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen9-ZF1a_1_MMStack_Pos1_MIP
02112025_Cen-ZF_select_HCT116_session1,21,1,1070.7420163004915,770.0,374,2357541,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen9-ZF1a_1_MMStack_Pos1_MIP
02112025_Cen-ZF_select_HCT116_session1,22,0,4246.905097373542,4109.0,1598,1998754,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen8-ZF3a_1_MMStack_Pos6_MIP
02112025_Cen-ZF_select_HCT116_session1,22,1,1452.4439060038276,1008.0,455,1998754,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen8-ZF3a_1_MMStack_Pos6_MIP
02112025_Cen-ZF_select_HCT116_session1,23,0,4142.398012925384,3957.0,1418,2670559,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen10-ZF2c_1_MMStack_Pos1_MIP
02112025_Cen-ZF_select_HCT116_session1,23,1,3044.5732702404252,1355.0,462,2670559,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen10-ZF2c_1_MMStack_Pos1_MIP
02112025_Cen-ZF_select_HCT116_session1,24,0,5047.740441990736,4981.0,1793,2062974,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen7-ZF1g_1_MMStack_Pos1_MIP
02112025_Cen-ZF_select_HCT116_session1,24,1,4164.483492080441,2031.0,611,2062974,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen7-ZF1g_1_MMStack_Pos1_MIP
02112025_Cen-ZF_select_HCT116_session1,25,0,3835.075830398464,3736.0,1279,2547346,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen5-ZF2b_1_MMStack_Pos11_MIP
02112025_Cen-ZF_select_HCT116_session1,25,1,1354.6676732816775,884.0,418,2547346,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen5-ZF2b_1_MMStack_Pos11_MIP
02112025_Cen-ZF_select_HCT116_session1,26,0,4998.032562542179,4320.0,1567,2381290,02112025_Cen-ZF_select_HCT116_utx_1_MMStack_Pos1_MIP
02112025_Cen-ZF_select_HCT116_session1,26,1,630.7989919508087,637.0,320,2381290,02112025_Cen-ZF_select_HCT116_utx_1_MMStack_Pos1_MIP
02112025_Cen-ZF_select_HCT116_session1,27,0,4681.874194826565,4530.0,1520,2158353,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen4-ZF3c_1_MMStack_Pos8_MIP
02112025_Cen-ZF_select_HCT116_session1,27,1,2632.578395853048,1545.0,582,2158353,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen4-ZF3c_1_MMStack_Pos8_MIP
02112025_Cen-ZF_select_HCT116_session1,28,0,5077.877271963361,4955.0,1606,2047318,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen4-ZF3c_1_MMStack_Pos10_MIP
02112025_Cen-ZF_select_HCT116_session1,28,1,1087.4470754934391,788.0,399,2047318,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen4-ZF3c_1_MMStack_Pos10_MIP
02112025_Cen-ZF_select_HCT116_session1,29,0,4237.850466304625,3894.0,1514,2438222,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen8-ZF4b_1_MMStack_Pos4_MIP
02112025_Cen-ZF_select_HCT116_session1,29,1,1934.8213191382376,1155.0,465,2438222,02112025_Cen-ZF_select_HCT116_NT-GFP_Cen8-ZF4b_1_MMStack_Pos4_MIP
